納入申告書_特例申告（定率）,,,,,,,,,,,
"「必須」欄の凡例
○：必須項目　　　　　　　必ず値を設定してください。
△：条件付き必須項目　　　他の項目の設定内容により設定が必須となります。条件について、各項目の「備考」欄を参照してください。
－：入力不要項目　　　　　システムが自動で設定する項目のため、値を設定しない。項目区切りを表す"",""(カンマ)は必要ですのでご注意ください。
空白：任意入力項目　　　　設定は任意です。値を設定しない場合でも、項目区切りを表す"",""(カンマ)が必要ですのでご注意ください。

「文字属性」欄の凡例
全角：【全角】eLTAXで使用できる全角文字( https://www.eltax.lta.go.jp/eltax/chuuijikou/moji/ )を入力する。（℃、Å、⌒、★、☆、♀、♂、♪、♭、♯は使用不可）
半角：【半角】英数字、記号を入力する。
数字：【半角】数字を入力する。",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
No.,CSV項目名称,データの意味,入力文字,,,,コードID,備考,,,
,,,必須,型,文字属性,文字数,,,,,
47,納入税額－行為年月１－申告区分３【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
48,納入税額－行為年月１【申告区分４】,,,,全角,50,,,,,
49,納入税額－行為年月１－申告区分４【宿泊料金の総額】,,,,数字,11,,,,,
50,納入税額－行為年月１－申告区分４【宿泊者数】,,,,数字,8,,,,,
51,納入税額－行為年月１－申告区分４【宿泊料金】,,,,数字,13,,,,,
52,納入税額－行為年月１－申告区分４【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
53,納入税額－行為年月１－申告区分４【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
54,納入税額－行為年月１【申告区分５】,,,,全角,50,,,,,
55,納入税額－行為年月１－申告区分５【宿泊料金の総額】,,,,数字,11,,,,,
56,納入税額－行為年月１－申告区分５【宿泊者数】,,,,数字,8,,,,,
57,納入税額－行為年月１－申告区分５【宿泊料金】,,,,数字,13,,,,,
58,納入税額－行為年月１－申告区分５【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
59,納入税額－行為年月１－申告区分５【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
60,納入税額－行為年月１【申告区分６】,,,,全角,50,,,,,
61,納入税額－行為年月１－申告区分６【宿泊料金の総額】,,,,数字,11,,,,,
62,納入税額－行為年月１－申告区分６【宿泊者数】,,,,数字,8,,,,,
63,納入税額－行為年月１－申告区分６【宿泊料金】,,,,数字,13,,,,,
64,納入税額－行為年月１－申告区分６【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
65,納入税額－行為年月１－申告区分６【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
66,納入税額－行為年月１【申告区分７】,,,,全角,50,,,,,
67,納入税額－行為年月１－申告区分７【宿泊料金の総額】,,,,数字,11,,,,,
68,納入税額－行為年月１－申告区分７【宿泊者数】,,,,数字,8,,,,,
69,納入税額－行為年月１－申告区分７【宿泊料金】,,,,数字,13,,,,,
70,納入税額－行為年月１－申告区分７【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
71,納入税額－行為年月１－申告区分７【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
72,納入税額－行為年月１【申告区分８】,,,,全角,50,,,,,
73,納入税額－行為年月１－申告区分８【宿泊料金の総額】,,,,数字,11,,,,,
74,納入税額－行為年月１－申告区分８【宿泊者数】,,,,数字,8,,,,,
75,納入税額－行為年月１－申告区分８【宿泊料金】,,,,数字,13,,,,,
76,納入税額－行為年月１－申告区分８【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
77,納入税額－行為年月１－申告区分８【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
78,納入税額－行為年月１【申告区分９】,,,,全角,50,,,,,
79,納入税額－行為年月１－申告区分９【宿泊料金の総額】,,,,数字,11,,,,,
