,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,holidayConfig,作成日,2026/7/22,,
,,画面論理名,休業日設定照会/編集,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,対象年度,ー,ー,ー,テキストボックス,〇,
2,カレンダーボタン,カレンダーエリア,ー,ー,ボタン,〇,"カレンダー形式で１か月分の日付ボタンを表示
一カ月ごとにエリア内でページング"
3,"休業日一覧
(土・日を除く)",ー,ー,ー,チェックボックス,〇,カレンダーエリアで選択した日付を表示していく
4,初期化,ー,ー,ー,ボタン,○,システムマスタの祝日設定を反映
5,更新,ー,ー,ー,ボタン,〇,編集画面のみ表示
6,編集する,ー,ー,ー,ボタン,〇,照会画面のみ表示
7,一覧に戻る,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
