,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,m_nozei_shuki_config,作成日,2026/4/23,
,,画面論理名,納税周期登録/編集,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,納税周期,m_nozei_shuki,shuki,セレクトボックス,〇,
2,登録する,ー,ー,ボタン,〇,新規登録の場合のみ表示される
3,更新する,ー,ー,ボタン,〇,編集の場合のみ表示される
4,削除する,ー,ー,ボタン,〇,編集の場合のみ表示される
5,一覧に戻る,ー,ー,ボタン,〇,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
