,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,
画面項目一覧表,,画面物理名,nozei_shuki_daicho,作成日,2026/4/22,
,,画面論理名,納税周期照会,更新日,,
,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考
1,周期,m_nozei_shuki,shuki,セレクタ,〇,1～12の中から選択する
2,周期,m_nozei_shuki,shuki,テーブルカラム,×,
3,納期限,m_nozei_shuki,shuki,テーブルカラム,×,shukiから自動判断した納期限を表示する
4,検索する,ー,ー,ボタン,〇,入力した条件で一覧を絞り込む
,,,,,,
,,,,,,
,,,,,,
,,,,,,
