,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,kofukinBulkPrint,作成日,2026/7/22,,
,,画面論理名,交付金帳票一括発行,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,発行年月日,ー,ー,ー,カレンダー,〇,
2,交付金年度,ー,ー,ー,テキストボックス,〇,
3,交付金申請書,ー,ー,ー,チェックボックス,〇,発行対象の帳票を選択する
4,交付金決定通知書,ー,ー,ー,チェックボックス,○,発行対象の帳票を選択する
5,PDF,ー,ー,ー,ボタン,〇,
6,プレビュー,ー,ー,ー,ボタン,〇,
7,印刷,ー,ー,ー,ボタン,〇,
8,一覧に戻る,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
