,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,
画面項目一覧表,,画面物理名,changePassword,作成日,2026/7/23,,
,,画面論理名,ユーザーパスワード変更,更新日,,,
,,,,,,,
No.,項目名,エリア,DBテーブル,DBカラム,部品の種類,有効,備考
1,ID,ー,ー,ー,テキストボックス,×,
2,現在のパスワード,ー,m_user,password,パスワード,○,
3,新しいパスワード,ー,ー,ー,パスワード,〇,
4,新しいパスワード（確認用）,ー,ー,ー,パスワード,〇,
5,戻る,ー,ー,ー,ボタン,○,"遷移元の画面を判定して、遷移元に戻る
遷移前に確認モーダルを表示し、パスワードが変更されないが良いか確認する"
6,設定する,ー,ー,ー,ボタン,〇,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
