116,納入税額－行為年月２【申告区分４】,1
117,納入税額－行為年月２－申告区分４【宿泊料金の総額】,2
118,納入税額－行為年月２－申告区分４【宿泊者数】,2
119,納入税額－行為年月２－申告区分４【宿泊料金】,2
120,納入税額－行為年月２－申告区分４【税率】,2
121,納入税額－行為年月２－申告区分４【税額】,2
122,納入税額－行為年月２【申告区分５】,1
123,納入税額－行為年月２－申告区分５【宿泊料金の総額】,2
124,納入税額－行為年月２－申告区分５【宿泊者数】,2
125,納入税額－行為年月２－申告区分５【宿泊料金】,2
126,納入税額－行為年月２－申告区分５【税率】,2
127,納入税額－行為年月２－申告区分５【税額】,2
128,納入税額－行為年月２【申告区分６】,1
129,納入税額－行為年月２－申告区分６【宿泊料金の総額】,2
130,納入税額－行為年月２－申告区分６【宿泊者数】,2
131,納入税額－行為年月２－申告区分６【宿泊料金】,2
132,納入税額－行為年月２－申告区分６【税率】,2
133,納入税額－行為年月２－申告区分６【税額】,2
134,納入税額－行為年月２【申告区分７】,1
135,納入税額－行為年月２－申告区分７【宿泊料金の総額】,2
136,納入税額－行為年月２－申告区分７【宿泊者数】,2
137,納入税額－行為年月２－申告区分７【宿泊料金】,2
138,納入税額－行為年月２－申告区分７【税率】,2
139,納入税額－行為年月２－申告区分７【税額】,2
140,納入税額－行為年月２【申告区分８】,1
141,納入税額－行為年月２－申告区分８【宿泊料金の総額】,2
142,納入税額－行為年月２－申告区分８【宿泊者数】,2
143,納入税額－行為年月２－申告区分８【宿泊料金】,2
144,納入税額－行為年月２－申告区分８【税率】,2
145,納入税額－行為年月２－申告区分８【税額】,2
146,納入税額－行為年月２【申告区分９】,1
147,納入税額－行為年月２－申告区分９【宿泊料金の総額】,2
148,納入税額－行為年月２－申告区分９【宿泊者数】,2
149,納入税額－行為年月２－申告区分９【宿泊料金】,2
150,納入税額－行為年月２－申告区分９【税率】,2
151,納入税額－行為年月２－申告区分９【税額】,2
152,納入税額－行為年月２【申告区分１０】,1
153,納入税額－行為年月２－申告区分１０【宿泊料金の総額】,2
154,納入税額－行為年月２－申告区分１０【宿泊者数】,2
155,納入税額－行為年月２－申告区分１０【宿泊料金】,2
156,納入税額－行為年月２－申告区分１０【税率】,2
157,納入税額－行為年月２－申告区分１０【税額】,2
158,納入税額－行為年月２－課税対象宿泊合計【宿泊者数】,2
159,納入税額－行為年月２－課税対象宿泊合計【宿泊料金】,2
160,納入税額－行為年月２－課税対象宿泊合計【税額】,2
161,納入税額－行為年月２－課税免除【宿泊者数】,2
162,納入税額－行為年月２－課税免除【宿泊料金】,2
163,納入税額－行為年月２－合計【宿泊者数】,2
164,納入税額－行為年月２－合計【税額】,2
165,納入税額－行為年月３,1
166,納入税額－行為年月３【申告区分１】,1
167,納入税額－行為年月３－申告区分１【宿泊料金の総額】,2
168,納入税額－行為年月３－申告区分１【宿泊者数】,2
169,納入税額－行為年月３－申告区分１【宿泊料金】,2
170,納入税額－行為年月３－申告区分１【税率】,2
171,納入税額－行為年月３－申告区分１【税額】,2
172,納入税額－行為年月３【申告区分２】,1
173,納入税額－行為年月３－申告区分２【宿泊料金の総額】,2
174,納入税額－行為年月３－申告区分２【宿泊者数】,2
175,納入税額－行為年月３－申告区分２【宿泊料金】,2
176,納入税額－行為年月３－申告区分２【税率】,2
177,納入税額－行為年月３－申告区分２【税額】,2
178,納入税額－行為年月３【申告区分３】,1
179,納入税額－行為年月３－申告区分３【宿泊料金の総額】,2
180,納入税額－行為年月３－申告区分３【宿泊者数】,2
181,納入税額－行為年月３－申告区分３【宿泊料金】,2
182,納入税額－行為年月３－申告区分３【税率】,2
183,納入税額－行為年月３－申告区分３【税額】,2
184,納入税額－行為年月３【申告区分４】,1
185,納入税額－行為年月３－申告区分４【宿泊料金の総額】,2
186,納入税額－行為年月３－申告区分４【宿泊者数】,2
187,納入税額－行為年月３－申告区分４【宿泊料金】,2
188,納入税額－行為年月３－申告区分４【税率】,2
189,納入税額－行為年月３－申告区分４【税額】,2
190,納入税額－行為年月３【申告区分５】,1
191,納入税額－行為年月３－申告区分５【宿泊料金の総額】,2
192,納入税額－行為年月３－申告区分５【宿泊者数】,2
193,納入税額－行為年月３－申告区分５【宿泊料金】,2
194,納入税額－行為年月３－申告区分５【税率】,2
195,納入税額－行為年月３－申告区分５【税額】,2
196,納入税額－行為年月３【申告区分６】,1
197,納入税額－行為年月３－申告区分６【宿泊料金の総額】,2
198,納入税額－行為年月３－申告区分６【宿泊者数】,2
199,納入税額－行為年月３－申告区分６【宿泊料金】,2
200,納入税額－行為年月３－申告区分６【税率】,2
201,納入税額－行為年月３－申告区分６【税額】,2
202,納入税額－行為年月３【申告区分７】,1
203,納入税額－行為年月３－申告区分７【宿泊料金の総額】,2
204,納入税額－行為年月３－申告区分７【宿泊者数】,2
205,納入税額－行為年月３－申告区分７【宿泊料金】,2
206,納入税額－行為年月３－申告区分７【税率】,2
207,納入税額－行為年月３－申告区分７【税額】,2
208,納入税額－行為年月３【申告区分８】,1
209,納入税額－行為年月３－申告区分８【宿泊料金の総額】,2
210,納入税額－行為年月３－申告区分８【宿泊者数】,2
211,納入税額－行為年月３－申告区分８【宿泊料金】,2
212,納入税額－行為年月３－申告区分８【税率】,2
213,納入税額－行為年月３－申告区分８【税額】,2
214,納入税額－行為年月３【申告区分９】,1
215,納入税額－行為年月３－申告区分９【宿泊料金の総額】,2
216,納入税額－行為年月３－申告区分９【宿泊者数】,2
217,納入税額－行為年月３－申告区分９【宿泊料金】,2
218,納入税額－行為年月３－申告区分９【税率】,2
219,納入税額－行為年月３－申告区分９【税額】,2
220,納入税額－行為年月３【申告区分１０】,1
221,納入税額－行為年月３－申告区分１０【宿泊料金の総額】,2
222,納入税額－行為年月３－申告区分１０【宿泊者数】,2
223,納入税額－行為年月３－申告区分１０【宿泊料金】,2
224,納入税額－行為年月３－申告区分１０【税率】,2
225,納入税額－行為年月３－申告区分１０【税額】,2
226,納入税額－行為年月３－課税対象宿泊合計【宿泊者数】,2
227,納入税額－行為年月３－課税対象宿泊合計【宿泊料金】,2
228,納入税額－行為年月３－課税対象宿泊合計【税額】,2
229,納入税額－行為年月３－課税免除【宿泊者数】,2
230,納入税額－行為年月３－課税免除【宿泊料金】,2
231,納入税額－行為年月３－合計【宿泊者数】,2
232,納入税額－行為年月３－合計【税額】,2
233,備考,0
