1,税目区分,0,0
2,様式ID,0,0
3,手続ID,0,0
4,利用者ID,0,0
5,納税者ID,0,0
6,代理人利用者ID,0,0
7,代理人納税者ID,0,0
8,申告受付番号,0,0
9,受付年月日,0,0
10,宛先【地方公共団体コード】,0,0
11,宛先【税務事務所コード】,0,0
12,宛先【長名】,0,0
13,提出年月日,2,0
14,特別徴収義務者【証票番号（事業者番号）】,0,0
15,特別徴収義務者【氏名又は名称】,1,0
16,特別徴収義務者【代表者氏名】,1,0
17,特別徴収義務者【郵便番号】,1,0
18,特別徴収義務者【住所又は所在地】,1,0
19,特別徴収義務者【電話番号】,1,0
20,特別徴収義務者【担当者氏名】,1,0
21,特別徴収義務者【担当者連絡先】,1,0
22,個人番号・法人番号区分,1,0
23,特別徴収義務者【個人番号】,1,0
24,特別徴収義務者【法人番号】,1,0
25,施設情報【施設番号（宿泊施設番号、指定番号）】,1,1
26,施設情報【名称】,1,1
27,施設情報【所在地】,1,1
28,施設情報【電話番号】,1,0
29,納入税額－行為年月１,1,1
30,納入税額－行為年月１【申告区分１】,1,1
31,納入税額－行為年月１－申告区分１【税率】,2,0
32,納入税額－行為年月１－申告区分１【宿泊数】,2,0
33,納入税額－行為年月１－申告区分１【税額】,2,0
34,納入税額－行為年月１【申告区分２】,1,0
35,納入税額－行為年月１－申告区分２【税率】,2,0
36,納入税額－行為年月１－申告区分２【宿泊数】,2,0
37,納入税額－行為年月１－申告区分２【税額】,2,0
38,納入税額－行為年月１【申告区分３】,1,0
39,納入税額－行為年月１－申告区分３【税率】,2,0
40,納入税額－行為年月１－申告区分３【宿泊数】,2,0
41,納入税額－行為年月１－申告区分３【税額】,2,0
42,納入税額－行為年月１【申告区分４】,1,0
43,納入税額－行為年月１－申告区分４【税率】,2,0
44,納入税額－行為年月１－申告区分４【宿泊数】,2,0
45,納入税額－行為年月１－申告区分４【税額】,2,0
46,納入税額－行為年月１【申告区分５】,1,0
47,納入税額－行為年月１－申告区分５【税率】,2,0
48,納入税額－行為年月１－申告区分５【宿泊数】,2,0
49,納入税額－行為年月１－申告区分５【税額】,2,0
50,納入税額－行為年月１【申告区分６】,1,0
51,納入税額－行為年月１－申告区分６【税率】,2,0
52,納入税額－行為年月１－申告区分６【宿泊数】,2,0
53,納入税額－行為年月１－申告区分６【税額】,2,0
54,納入税額－行為年月１【申告区分７】,1,0
55,納入税額－行為年月１－申告区分７【税率】,2,0
56,納入税額－行為年月１－申告区分７【宿泊数】,2,0
57,納入税額－行為年月１－申告区分７【税額】,2,0
58,納入税額－行為年月１【申告区分８】,1,0
59,納入税額－行為年月１－申告区分８【税率】,2,0
60,納入税額－行為年月１－申告区分８【宿泊数】,2,0
61,納入税額－行為年月１－申告区分８【税額】,2,0
62,納入税額－行為年月１【申告区分９】,1,0
63,納入税額－行為年月１－申告区分９【税率】,2,0
64,納入税額－行為年月１－申告区分９【宿泊数】,2,0
65,納入税額－行為年月１－申告区分９【税額】,2,0
66,納入税額－行為年月１【申告区分１０】,1,0
67,納入税額－行為年月１－申告区分１０【税率】,2,0
68,納入税額－行為年月１－申告区分１０【宿泊数】,2,0
69,納入税額－行為年月１－申告区分１０【税額】,2,0
70,納入税額－行為年月１－課税対象宿泊合計【宿泊数】,2,1
71,納入税額－行為年月１－課税対象宿泊合計【税額】,2,1
72,納入税額－行為年月１－課税免除【宿泊数】,2,1
73,納入税額－行為年月１－合計【宿泊数】,2,1
74,納入税額－行為年月１－合計【税額】,2,1
75,納入税額－行為年月２,1,1
76,納入税額－行為年月２【申告区分１】,1,1
77,納入税額－行為年月２－申告区分１【税率】,2,0
78,納入税額－行為年月２－申告区分１【宿泊数】,2,0
79,納入税額－行為年月２－申告区分１【税額】,2,0
80,納入税額－行為年月２【申告区分２】,1,0
81,納入税額－行為年月２－申告区分２【税率】,2,0
82,納入税額－行為年月２－申告区分２【宿泊数】,2,0
83,納入税額－行為年月２－申告区分２【税額】,2,0
84,納入税額－行為年月２【申告区分３】,1,0
85,納入税額－行為年月２－申告区分３【税率】,2,0
